Rnº,Tipo,Localización,Estado: (- / Espera / Reciclando / Listo / Desechado),Número catálogo si está listo,Procedencia
537,Impresora,Almacén,,,Politicas
538,Escaner,Almacén,,,Facultad de ciencias
539,Pc,Almacén,,,Facultad de ciencias
540,Pc,Almacén,,,Facultad de ciencias
541,Pc,Almacén,,,Facultad de ciencias
542,Pc,Almacén,,,Facultad de ciencias
543,Pc,Almacén,,,Facultad de ciencias
544,Pc,Almacén,,,Facultad de ciencias
545,Pc,Almacén,,,Facultad de ciencias
546,Pc,Almacén,,,Facultad de ciencias
547,Pc,Almacén,,,Facultad de ciencias
548,Pc,Almacén,,,Facultad de ciencias
549,Pc,Almacén,,,Facultad de ciencias
550,Pc,Almacén,,,Facultad de ciencias
551,Pc,Almacén,,,Facultad de ciencias
552,Pc,Almacén,,,Facultad de ciencias
553,Pc,Almacén,,,Facultad de ciencias
554,Pc,Almacén,,,Facultad de ciencias
555,Pc,Almacén,,,Facultad de ciencias
556,Pc,Almacén,,,Facultad de ciencias
557,Pc,Almacén,,,Facultad de ciencias
558,Pc,Almacén,,,Facultad de ciencias
559,Impresora,Almacén,,,Deportes
560,Impresora,Almacén,,,Deportes
561,Pc,Almacén,,,Deportes
562,Escaner,Almacén,,,Deportes
563,Escaner,Almacén,,,Deportes
564,Escaner,Almacén,,,Deportes
565,Proyector,Almacén,,,Deportes
566,Pc,Almacen,,,Oficina Proyectos Internacionales
567,Pc,Almacen,,,Oficina Proyectos Internacionales
568,Impresora,Almacen,,,Oficina Proyectos Internacionales
569,Pc,Almacen,,,Oficina Proyectos Internacionales
570,Pc,Oficina Manu,,312,Oficina Proyectos Internacionales
571,Portatil,Almacen,,,Oficina Proyectos Internacionales
572,Portatil,Almacen,,,Oficina Proyectos Internacionales
573,Fax,Almacen,,,Oficina Proyectos Internacionales
574,Pc,Almacen,,,Oficina Proyectos Internacionales
575,Pc,Oficina,Desechado,,Hospital Real Rector
576,Pc,Almacen,,,Facultad de ciencias
577,Pc,Almacen,,,Facultad de ciencias
578,Pc,Almacen,,,Facultad de ciencias
579,Pc,Almacen,,,Facultad de ciencias
580,Pc,Almacen,,,Facultad de ciencias
581,Impresora,Almacen,,,Facultad de ciencias
582,Impresora,Almacen,,,Facultad de ciencias
583,Impresora,Almacen,,,Facultad de ciencias
584,Impresora,Almacen,,,Facultad de ciencias
585,Impresora,Almacen,,,Facultad de ciencias
586,Impresora,Almacen,,,Facultad de ciencias
587,Impresora,Almacen,,,Facultad de ciencias
588,Impresora,Almacen,,,Facultad de ciencias
589,Impresora,Almacen,,,Facultad de ciencias
590,Impresora,Almacen,,,Facultad de ciencias
591,Impresora,Almacen,,,Facultad de ciencias
592,Impresora,Almacen,,,Facultad de ciencias
593,Impresora,Almacen,,,Facultad de ciencias
594,Impresora,Almacen,,,Facultad de ciencias
595,Escaner,Almacen,,,Facultad de ciencias
596,Impresora,Almacen,,,Facultad de ciencias
